Name,Property_Type,Bedrooms1,Baths,Balcony,City,Location,total_sqft,Price_per_SQFT,Price
Atco Sapphire,Flat,3,3,Yes,Bangalore,"Sree Narayana Nagar, Kada Agrahara,Bangalore",1620,8020,13000000
Brigade 7 Gardens,Flat,3,3,Yes,Bangalore,"Happy Valley Layout, Subramanyapura,Bangalore",1395,7880,11000000
MC Fortune,Flat,3,3,Yes,Bangalore,"Nallurhalli, Whitefield,Bangalore",1512,7740,11700000
SLV Jasmine,Flat,3,3,Yes,Bangalore,"Mathikere Extension, Mathikere,Bangalore",1625,8310,13500000
Brigade Orchards,Flat,4,3,Yes,Bangalore,"Devanahalli, Bangalore",1980,6060,12000000
Prestige Falcon City,Flat,2,3,Yes,Bangalore,"Anjanadri Layout, Konanakunte,Bangalore",1274,12170,15500000
A-Knight Swasthall,Flat,3,3,No,Bangalore,"Basavanagudi, Bangalore",1501,7860,11800000
Mantri Mantri Paradise,Flat,3,3,No,Bangalore,"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",1375,9450,13000000
Sobha Dream Acres,Flat,2,3,No,Bangalore,"Balagere, Bangalore",1220,9920,12100000
Prestige Jindal City by Prestige Estates Projects Ltd.,Flat,2,3,No,Bangalore,"HMT Estate, Jalahalli,Bangalore",980,10200,10000000
Prestige Lakeside Habitat Villas by Prestige Estates Projects Ltd.,Flat,2,3,No,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1216,10280,12500000
Prestige Royale Gardens,Flat,3,3,Yes,Bangalore,"Muddanahalli, Bangalore",1705,6390,10900000
Sobha Lake Garden,Flat,3,3,Yes,Bangalore,"Duravani Nagar, Krishnarajapura,Bangalore",1765,8780,15500000
Sobha City,Flat,3,3,Yes,Bangalore,"Devin Paradise Enclave, Tirumanahalli,Bangalore",1564,8630,13500000
Sobha Lake Garden by Sobha Limited,Flat,3,3,Yes,Bangalore,"Hampapura, Bangalore",1765,8780,15500000
Mantri Serenity,Flat,3,3,Yes,Bangalore,"Singapore Gardens And Green Fields, Subramanyapura,Bangalore",1720,9010,15500000
Brigade Northridge Neo by Brigade Enterprises Ltd,Flat,3,3,Yes,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1880,8510,16000000
Provident Park Square by Provident Housing Limited,Flat,3,3,Yes,Bangalore,"Judicial Layout, Bangalore",1308,8410,11000000
Pashmina Pashmina Waterfront by Pashmina Developers,Flat,3,3,Yes,Bangalore,"Hampapura, Bangalore",1918,6520,12500000
Mantri Serenity by Mantri Developers,Flat,3,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",1701,8820,15000000
Godrej 24,Flat,3,3,Yes,Bangalore,"Volagerekallahalli, Bangalore",1552,7730,12000000
Godrej 24,Flat,3,3,No,Bangalore,"Volagerekallahalli, Bangalore",1573,6990,11000000
Brigade 7 Gardens,Flat,3,3,Yes,Bangalore,"Happy Valley Layout, Subramanyapura,Bangalore",1603,7300,11700000
Brigade 7 Gardens,Flat,3,3,Yes,Bangalore,"Happy Valley Layout, Subramanyapura,Bangalore",1425,9470,13500000
Mana Uber Verdant II by Mana Projects Pvt. Ltd.,Flat,2,3,Yes,Bangalore,"Mattanahalli, Bangalore",1285,8560,11000000
Brigade 7 Gardens,Flat,3,3,Yes,Bangalore,"Eshwara Nagar, Banashankari,Bangalore",1608,8080,13000000
Arsis Green Hills,Flat,3,3,Yes,Bangalore,"Hampapura, Bangalore",1735,6630,11500000
Godrej 24 by Godrej Properties Ltd. ,Flat,3,3,No,Bangalore,"Mattanahalli, Bangalore",1554,6760,10500000
Prestige Jindal City,Flat,3,3,No,Bangalore,"Manjunatha Nagar, Bagalakunte,Bangalore",1373,7650,10500000
Kethana Eternal Blossom,Flat,3,3,Yes,Bangalore,"Kadubeesanahalli, Bangalore",1700,6060,10300000
Sobha Sapphire,Flat,2,3,Yes,Bangalore,"Amrutahalli, Bangalore",1380,8700,12000000
The Icon,Flat,3,3,Yes,Bangalore,"Manayata Tech Park, Thanisandra,Bangalore",1996,7760,15500000
Sattva East Crest,Flat,3,3,No,Bangalore,"Konadasapura, Bangalore",1527,7860,12000000
Rohan Avriti,Flat,2,3,Yes,Bangalore,"Kaveri Nagar, Krishnarajapura,Bangalore",1205,10370,12500000
Hoysala Hoysala Ace,Flat,3,3,No,Bangalore,"Sahakara Nagar, Bangalore",1450,9310,13500000
Hoysala Hoysala Ace,Flat,3,3,No,Bangalore,"Sahakara Nagar, Bangalore",1450,8960,13000000
YPR RESIDENCY,Flat,2,3,Yes,Bangalore,"Narayanapura, Bangalore",1102,9070,10000000
Sobha Jade Apartments,Flat,3,3,Yes,Bangalore,"Jakkuru Village, Jakkur,Bangalore",1802,8880,16000000
Sumuka Residency,Flat,3,3,No,Bangalore,"Akshayanagara East, Akshayanagar,Bangalore",1530,7190,11000000
Sashank Advaith by Sashank Constructions,Flat,3,3,Yes,Bangalore,"Choodasandra, Bangalore",1650,7270,12000000
Wise Golden Rays by Wise Builders and Developers,Flat,3,3,Yes,Bangalore,"Devarachikkana Halli, Bangalore",1575,9520,15000000
Wise Golden Rays by Wise Builders and Developers,Flat,3,3,No,Bangalore,"Devarachikkana Halli, Bangalore",1575,9520,15000000
Paras Manyata Apartment,Flat,3,3,Yes,Bangalore,"Manayata Tech Park, Thanisandra,Bangalore",1665,6610,11000000
Sai Purvi Symphony,Flat,2,3,Yes,Bangalore,"Thippasandra, Bangalore",1285,11670,15000000
Golden Pearl,Villa,3,4,Yes,Bangalore,"Attibele, Bangalore",2345,5840,13700000
Mantri Splendor by Mantri Developers,Flat,3,3,No,Bangalore,"Vadarpalya, Hennur,Bangalore",1575,7300,11500000
Sobha Amber by Sobha Limited,Flat,3,3,Yes,Bangalore,"Rachenahalli, Jakkur,Bangalore",1900,7370,14000000
Century Breeze,Flat,2,3,Yes,Bangalore,"Rachenahalli, Jakkur,Bangalore",1400,9290,13000000
Plama Heights,Flat,3,3,Yes,Bangalore,"Punappa Layout, HBR Layout,Bangalore",1800,6670,12000000
GM Sri Sai Enclave,Flat,3,3,No,Bangalore,"Srinivasa Nagar, Bangalore",1490,7380,11000000
Sparkle Realty The Marquise,Flat,3,3,No,Bangalore,"Hulimavu, Bangalore",1500,8670,13000000
Genesis Eco Sphere,Flat,3,3,Yes,Bangalore,"Electronics City Phase 1, Electronic City,Bangalore",1854,6740,12500000
Bhartiya City The Loft by Bhartiya City Developers Pvt Ltd,Flat,3,3,Yes,Bangalore,"P&T Layout, Thanisandra,Bangalore",1917,7300,14000000
Century Celeste,Flat,3,3,Yes,Bangalore,"Nehru Nagar, Bangalore",1775,6200,11000000
Sai Vrushabadri Towers by Sai Projects and Developers,Flat,3,3,Yes,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1500,7930,11900000
Prestige Sunnyside,Flat,3,3,Yes,Bangalore,"Bhoganhalli, Bangalore",1790,8660,15500000
NCC Nagarjuna Aster Park,Flat,3,3,Yes,Bangalore,"Vignana Kendra, Bangalore",1634,6730,11000000
Raheja Park,Flat,3,3,No,Bangalore,"Agrahara Dasarahalli, Rajajinagar,Bangalore",1550,10320,16000000
Ansal Forte,Flat,3,3,Yes,Bangalore,"Stage 2, BTM Layout,Bangalore",1899,6050,11500000
Puravankara Purva Heights by Puravankara Limited,Flat,2,3,Yes,Bangalore,"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",1222,8590,10500000
Sobha Ruby Platinum by Sobha Limited,Flat,3,3,Yes,Bangalore,"Nagasandra, Bangalore",1470,8500,12500000
Ram Residency,Flat,3,3,No,Bangalore,"C V Raman Nagar, Bangalore",1360,8460,11500000
Tulip Apartments,Flat,3,3,No,Bangalore,"Kartik Nagar, Bangalore",1530,7190,11000000
Nirman I Woods,Flat,3,3,No,Bangalore,"Bellandur, Bangalore",1505,7970,12000000
Essem Poetree by Essem 18,Flat,2,3,No,Bangalore,"KPC Layout, Bangalore",1275,8470,10800000
SLV Splendour by SLV Projects,Flat,3,3,Yes,Bangalore,"Ganapathipura, Konanakunte,Bangalore",1611,6520,10500000
Aashrithaa Venus County Premium,Independent House,10,3,Yes,Bangalore,"Haragadde, Bangalore",1985,7560,15000000
Rakesh Fantasy Garden,Flat,3,3,Yes,Bangalore,"East Of NGEF Layout, Kasturi Nagar,Bangalore",1744,7170,12500000
Keerthi Gardenia by Keerthi Constructions,Flat,3,3,Yes,Bangalore,"Hemmigepura, Bangalore",1680,7440,12500000
Comfort Residency,Flat,2,3,No,Bangalore,"KSRTC Colony, Shanti Nagar,Bangalore",1200,8330,10000000
Alpine Pyramid,Flat,3,3,Yes,Bangalore,"Sahakara Nagar, Bangalore",1692,6030,10200000
BSR Akruthi Green Woods,Independent House,7,3,Yes,Bangalore,"Kalbalu, Bangalore",1150,11300,13000000
Chartered Beverly Hills,Flat,3,3,Yes,Bangalore,"Jayanagar Housing Society Layout, Subramanyapura,Bangalore",1800,7780,14000000
Kesari Nandan,Flat,3,3,No,Bangalore,"Anubhav Nagar, Vijayanagar,Bangalore",1600,8940,14300000
DSMAX SKYSCAPE,Flat,3,3,Yes,Bangalore,"Rampura, Bangalore",1866,6970,13000000
Koncept Nakshathra,Flat,3,3,Yes,Bangalore,"Papareddipalya, Annapurneshwari Nagar,Bangalore",1505,6980,10500000
Tata Aquila Heights,Flat,3,4,Yes,Bangalore,"HMT Estate, Jalahalli,Bangalore",2058,7770,16000000
Antaliea Homes,Villa,4,3,Yes,Bangalore,"Agrahara Layout, Bangalore",1970,7610,15000000
Fortune Sunnyvale,Flat,3,4,Yes,Bangalore,"Singasandra, Bangalore",2034,7870,16000000
RJR Laguna,Flat,2,3,Yes,Bangalore,"8th Phase, JP Nagar,Bangalore",1370,8030,11000000
Prestige Silversun,Flat,2,3,No,Bangalore,"Bhoganhalli, Bangalore",1221,9010,11000000
Ittina Abha,Flat,3,3,No,Bangalore,"Gandhi Nagar, Munnekollal,Bangalore",1225,8570,10500000
Hoysala Habitat,Flat,3,3,Yes,Bangalore,"Harohalli, Bangalore",1845,5690,10500000
Rainbow Kishore Glendale,Flat,3,3,Yes,Bangalore,"Talaghattapura, Bangalore",1487,8410,12500000
SVS Palms,Flat,3,3,Yes,Bangalore,"Dodda Nekkundi Extension, Kartik Nagar,Bangalore",1632,7170,11700000
Neeladri Mahal,Flat,3,3,Yes,Bangalore,"Jaya Chamarajendra Nagar, Bangalore",1680,8040,13500000
Koncept Nakshathra,Flat,3,3,No,Bangalore,"Papareddipalya, Annapurneshwari Nagar,Bangalore",1505,7310,11000000
Sai Purvi Symphony,Flat,3,3,No,Bangalore,"Thippasandra, Bangalore",1540,6820,10500000
Sattva East Crest,Flat,3,3,Yes,Bangalore,"Konadasapura, Bangalore",1527,7530,11500000
Century Celeste,Flat,3,3,Yes,Bangalore,"Nehru Nagar, Bangalore",1775,6760,12000000
Puravankara Purva Highlands,Flat,3,3,Yes,Bangalore,"Vakil Garden City, Bangalore",1665,6310,10500000
Anubhava Ishwerya Classic,Flat,3,3,No,Bangalore,"Annaiah Reddy Layout, Dodda Banaswadi,Bangalore",1410,8510,12000000
Gopalan Jewels,Flat,3,3,Yes,Bangalore,"Kuvempu Nagar, Bikasipura,Bangalore",1800,5550,10000000
Ambiant The Infiniti,Flat,3,3,Yes,Bangalore,"2 Stage, Uttarahalli Hobli,Bangalore",1782,8360,14900000
Prestige Royale Gardens,Flat,3,3,Yes,Bangalore,"Muddanahalli, Bangalore",1705,6740,11500000
Oasis Dew,Flat,3,3,Yes,Bangalore,"Amalodbhavi Nagar, Panduranga Nagar,Bangalore",1875,7470,14000000
Shriram Southern Crest,Flat,2,3,Yes,Bangalore,"Ilyas Nagar, Kumaraswamy Layout,Bangalore",1300,9620,12500000
Sumadhura Lake Breeze,Flat,2,3,Yes,Bangalore,"Brookefield, Bangalore",1370,8540,11700000
Saideep Apartments,Flat,2,3,No,Bangalore,"Basavanagudi, Bangalore",1170,11110,13000000
Garuda Creek View by Garudachala Estates,Flat,3,3,Yes,Bangalore,"Medahalli, Bangalore",1600,8130,13000000
Godrej E City,Flat,3,3,Yes,Bangalore,"Electronic City, Bangalore",1449,8970,13000000
SMC Beverly Villas,Flat,3,3,No,Bangalore,"Dollars Colony, RMV Extension Stage 2,Bangalore",1475,9360,13800000
JJ Park Apartment 2,Flat,3,4,Yes,Bangalore,"Bhavani Nagar, S.G. Palya,Bangalore",2150,6980,15000000
Godrej 24 by Godrej Properties Ltd. ,Flat,3,3,Yes,Bangalore,"Mattanahalli, Bangalore",1544,6670,10300000
Moudgal Homes,Flat,2,3,No,Bangalore,"Kumara Park West, Sheshadripuram,Bangalore",1130,11950,13500000
Puravankara Purva Venezia,Flat,3,3,Yes,Bangalore,"Vignana Kendra, Bangalore",1614,8550,13800000
Puravankara Purva Venezia,Flat,3,3,Yes,Bangalore,"Vignana Kendra, Bangalore",1614,8490,13700000
 Park Vista,Flat,3,3,No,Bangalore,"Swamy Shivanandapuram, Shivaji Nagar,Bangalore",1450,11030,16000000
 Swati Nest,Flat,3,3,Yes,Bangalore,"Vinayaka Layout, Bangalore",1650,6970,11500000
Sovereign Dollar Heights,Flat,3,3,Yes,Bangalore,"Tannirhalli, Mathikere,Bangalore",1860,6450,12000000
Puravankara Purva Venezia,Flat,3,3,Yes,Bangalore,"Vignana Kendra, Bangalore",1614,8670,14000000
Imperial Navkis Celeste,Flat,3,3,Yes,Bangalore,"Devasandra, Mathikere,Bangalore",1606,8720,14000000
Celebrity Natures Habitat,Villa,3,3,Yes,Bangalore,"BEML Cooperative Society Layout, Byalahalli,Bangalore",1750,8570,15000000
Smiron Arcade,Flat,3,3,Yes,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1659,8080,13400000
Concorde Amber by Concorde Housing Corporation Pvt. Ltd.,Flat,3,3,No,Bangalore,"Mattanahalli, Bangalore",1411,9000,12700000
Prestige Lakeside Habitat,Flat,2,3,Yes,Bangalore,"Gunjur Village, Bangalore",1216,11510,14000000
Kethana Blossom,Flat,3,3,Yes,Bangalore,"Kariyammana Agrahara, Bellandur,Bangalore",1680,6250,10500000
 Banjara Summit,Flat,3,3,Yes,Bangalore,"Cleveland Town, Frazer Town,Bangalore",1200,10830,13000000
NS Paradise,Villa,4,4,Yes,Bangalore,"Kadugodi, Krishnarajapura,Bangalore",2300,6090,14000000
Sri bhagwan arcade,Flat,2,3,Yes,Bangalore,"Venkatachary Nagar, RMV Extension Stage 2,Bangalore",1120,13840,15500000
Sobha Garrison,Flat,3,3,Yes,Bangalore,"Nagasandra, Bangalore",1680,7740,13000000
AR Avenue by AR Builders And Developer,Flat,3,3,Yes,Bangalore,"Chinnayanpalya, Wilson Garden,Bangalore",1700,5880,10000000
Candeur Signature,Flat,3,3,Yes,Bangalore,"Gunjur, Bangalore",1545,8000,12400000
Godrej 24,Flat,3,3,No,Bangalore,"Mattanahalli, Bangalore",1573,6480,10200000
Sattva East Crest,Flat,3,3,Yes,Bangalore,"Konadasapura, Bangalore",1404,8550,12000000
Spartan Heights,Flat,2,3,Yes,Bangalore,"KSRTC Colony, Shanti Nagar,Bangalore",1215,11930,14500000
Narayan apartment,Flat,2,3,Yes,Bangalore,"Sadashiva Nagar, Armane Nagar,Bangalore",1800,7500,13500000
Mahaveer Palatium,Independent House,4,3,Yes,Bangalore,"Kalbalu, Bangalore",1950,6150,12000000
Ozone Urbana Pavilion,Flat,3,3,Yes,Bangalore,"Udayagiri, Bangalore",1530,7840,12000000
Akme Ballet,Flat,3,3,Yes,Bangalore,"Mahadevapura, Bangalore",1890,8200,15500000
Godrej Avenues,Flat,3,3,Yes,Bangalore,"Muddanahalli, Bangalore",1650,6360,10500000
Prestige Jindal City,Flat,3,3,Yes,Bangalore,"Anchepalya, Bangalore",1388,7350,10200000
Sumo Sonnet,Flat,3,3,Yes,Bangalore,"Hosapalya, Muneshwara Nagar,Bangalore",1375,8000,11000000
Kaberi Apartment,Flat,2,3,No,Bangalore,"Sudhama Nagar, Bangalore",1200,8330,10000000
Mantri Tranquil,Flat,2,3,No,Bangalore,"Gubbalala, Subramanyapura,Bangalore",1535,8140,12500000
Aswan The Marquis,Flat,3,3,Yes,Bangalore,"Whitefield, Bangalore",1381,8910,12300000
Althea,Flat,3,4,Yes,Bangalore,"Harohalli, Bangalore",2127,7520,16000000
Valmark Regency Pinnacle Heights,Flat,3,3,Yes,Bangalore,"Rachenahalli, Thanisandra,Bangalore",1881,6540,12300000
Mana Tropicale,Flat,3,3,No,Bangalore,"Gattahalli, Bangalore",1398,7510,10500000
Sai Nusshina Splendor,Flat,3,3,Yes,Bangalore,"Kamanahalli, Bangalore",1850,7840,14500000
Prestige Lakeside Habitat,Flat,2,3,Yes,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1216,10690,13000000
Nava Vedantha,Flat,2,3,Yes,Bangalore,"Govindpura, Dooravani Nagar,Bangalore",1168,11130,13000000
A - KV Yashus,Flat,3,3,Yes,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1450,8620,12500000
Everest and Kailash Apartments,Flat,3,3,Yes,Bangalore,"Malleswaram, Bangalore",1600,7500,12000000
Prestige IVY Terraces,Flat,3,3,No,Bangalore,"Kaverappa Layout, Kadubeesanahalli,Bangalore",1369,10740,14700000
Nitesh Caesars Palace,Flat,3,3,No,Bangalore,"Bangalore City Municipal Corporation Layout, Bangalore",1507,6970,10500000
Sparkle Realty The Marquise by Sparkle Realty,Flat,3,3,Yes,Bangalore,"Bannerughatta, Bangalore",1500,8670,13000000
ETA The Gardens by ETA Star Property Developers,Flat,3,3,Yes,Bangalore,"Magadi, Bangalore",1846,7850,14500000
Sobha Rose,Flat,3,3,Yes,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1732,7500,13000000
VARS Fantasy,Flat,3,3,Yes,Bangalore,"Kodihalli, Bangalore",1750,7430,13000000
Godrej Air,Flat,2,3,Yes,Bangalore,"Seetharampalya, Hoodi,Bangalore",1208,11590,14000000
Spartan Heights,Flat,2,3,No,Bangalore,"Shanthala Nagar, Ashok Nagar,Bangalore",1215,11520,14000000
Infiniti,Flat,3,3,Yes,Bangalore,"Kodandarama Nagar, KPC Layout,Bangalore",1892,7130,13500000
Neeladri Mahal,Flat,2,3,Yes,Bangalore,"Jaya Chamarajendra Nagar, Bangalore",1275,12550,16000000
Artha Brick Field Shelters,Villa,2,3,No,Bangalore,"Brick Field Shelters, Bangalore",1412,8500,12000000
Puravankara Purva Venezia,Flat,3,3,Yes,Bangalore,"Vignana Kendra, Bangalore",1614,8550,13800000
Sobha Silicon Oasis,Flat,3,3,Yes,Bangalore,"Pragathi Nagar, Electronic City,Bangalore",1550,9030,14000000
Brigade Golden Triangle,Flat,3,3,Yes,Bangalore,"Essel Gardens, Bangalore",1640,7500,12300000
Nanda Ashirwad,Flat,3,3,Yes,Bangalore,"Teachers Colony, Nagarbhavi,Bangalore",1635,8560,14000000
Puravankara Purva Highlands,Flat,3,3,Yes,Bangalore,"Vakil Garden City, Bangalore",1843,5420,10000000
Purva Palm Beach,Flat,2,3,No,Bangalore,"Kyalasanahalli, Bangalore",1232,8200,10100000
UKN Interlaken,Flat,3,3,Yes,Bangalore,"Doddanekundi, Kartik Nagar,Bangalore",1530,7520,11500000
Sobha Ruby,Flat,3,3,Yes,Bangalore,"Nagasandra, Bangalore",1390,8630,12000000
Mana Jardin,Flat,3,3,Yes,Bangalore,"Rainbow Drive, Junnasandra,Bangalore",1656,6940,11500000
DSR Elegance by DSR INFRASTRUCTURE PVT LTD ,Flat,3,3,No,Bangalore,"Jakkasandra Extension, Koramangala,Bangalore",1550,10320,16000000
Oceanus Freesia Enclave by Oceanus Dwelling Pvt. Ltd.,Flat,3,3,Yes,Bangalore,"Kariyammana Agrahara, Bellandur,Bangalore",1865,7510,14000000
NCC Nagarjuna Green Woods by NCC Urban Infrastructure Limited,Flat,3,3,Yes,Bangalore,"Kadubeesanahalli, Bangalore",1802,6660,12000000
Prithvi Thirumala Anemone,Flat,3,3,Yes,Bangalore,"8th Phase, JP Nagar,Bangalore",1675,7460,12500000
Puravankara Purva Highlands by Puravankara Limited,Flat,3,3,Yes,Bangalore,"Anjanapura Township, Bangalore",1843,5420,10000000
Yash Classic Enclave,Independent House,4,3,Yes,Bangalore,"Meganahalli, Kalyan Nagar,Bangalore",1700,9410,16000000
Roshan Palace,Flat,3,3,Yes,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1800,6110,11000000
NCC Nagarjuna Green Woods by NCC Urban Infrastructure Limited,Flat,3,3,Yes,Bangalore,"Koramangala, Bangalore",1802,6660,12000000
Brigade Panorama,Flat,3,3,Yes,Bangalore,"Kambipura, Bangalore",1640,7930,13000000
Big Banyan Kovela Homes by saiven,Flat,4,4,Yes,Bangalore,"Stage 2, BTM Layout,Bangalore",2280,6580,15000000
Abbas Towers by Seef Builders And Developers Pvt Ltd,Flat,3,3,No,Bangalore,"Cleveland Town, Frazer Town,Bangalore",1559,8340,13000000
Abbas Towers by Seef Builders And Developers Pvt Ltd,Flat,3,3,No,Bangalore,"Cleveland Town, Frazer Town,Bangalore",1559,8340,13000000
Yash Classic Enclave,Independent House,4,3,Yes,Bangalore,"Meganahalli, Kalyan Nagar,Bangalore",1800,8890,16000000
